n,bias.sdn,bias.madn,bias.sn,bias.qn,svar.sdn,svar.madn,svar.sn,svar.qn,eff.madn,eff.sn,eff.qn
2,1.000108,1.000134,1.000079,1.00035,1.142414,1.142414,1.142414,1.142414,1,1,1
3,0.999727,0.999452,0.999732,0.999619,0.820023,2.04768,2.04768,2.04768,0.400464,0.400464,0.400464
4,0.999796,0.999882,0.99992,0.999962,0.712528,1.307264,1.170864,1.170864,0.545053,0.608549,0.608549
5,0.999977,1.000055,1.000065,0.99997,0.658937,1.707603,1.511473,1.44146,0.385884,0.435957,0.457132
6,0.999946,0.999941,0.999891,1.000027,0.626726,1.352718,1.180048,1.024447,0.463309,0.531103,0.61177
7,1.000177,1.000065,1.000139,1.000078,0.605332,1.59657,1.284491,1.187946,0.379145,0.471262,0.509562
8,0.999995,1.000014,1.00008,1.000088,0.590342,1.361584,1.154824,0.948611,0.43357,0.511197,0.622323
9,1.000041,0.99984,0.999938,1.000039,0.578566,1.538845,1.158958,1.04116,0.375974,0.499213,0.555694
10,1.000076,1.000092,1.000158,1.000073,0.570024,1.363711,1.119218,0.899001,0.417994,0.509305,0.634064
11,0.99999,0.999974,1.00005,0.999977,0.562753,1.504198,1.082403,0.966655,0.374122,0.519911,0.582165
12,1.000033,0.999962,1.000001,1.000083,0.557069,1.364704,1.085473,0.862398,0.408198,0.513204,0.645953
13,1.000041,1.000009,1.000011,1.000012,0.552469,1.481841,1.032199,0.914787,0.372826,0.535235,0.603932
14,1.000019,1.000002,1.000033,1.000052,0.548504,1.365037,1.054171,0.835761,0.401824,0.520318,0.656293
15,0.999956,0.99991,0.999947,0.999858,0.545331,1.464785,0.997954,0.876344,0.372294,0.546449,0.622279
16,0.999982,1.000068,1.00007,1.000047,0.541852,1.364079,1.027151,0.813574,0.39723,0.527529,0.666015
17,0.999998,1.000098,1.000096,1.000086,0.53906,1.450749,0.971386,0.845783,0.371574,0.55494,0.637351
18,1.000042,1.000112,0.999976,1.000081,0.537234,1.364193,1.00566,0.796339,0.393811,0.534211,0.674631
19,0.999933,0.999871,0.99997,0.99989,0.534708,1.441076,0.952305,0.822029,0.371048,0.561488,0.650474
20,0.99993,0.999855,0.999879,0.999965,0.532741,1.364088,0.987487,0.781262,0.390548,0.539492,0.681898
21,1.000012,0.999993,1.000024,0.999941,0.531912,1.432979,0.938465,0.80312,0.371193,0.566789,0.662307
22,1.000067,0.999948,1.000015,1.000078,0.529647,1.363549,0.971461,0.767848,0.388433,0.545207,0.689781
23,0.999965,1.000011,0.999988,1.000045,0.52881,1.427271,0.926803,0.787246,0.370504,0.570574,0.671721
24,1.000007,1.000102,1.000015,1.000025,0.527434,1.36384,0.959043,0.757252,0.386727,0.549958,0.69651
25,0.999959,0.999958,0.999954,0.99993,0.525677,1.420509,0.916353,0.77247,0.370063,0.573663,0.680515
